path,size_bytes,readable,frames,fps,width,height,duration_sec
data/DeskTIL/videos/video100.mp4,229917,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video101.mp4,233896,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video102.mp4,226542,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video103.mp4,217355,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video104.mp4,296859,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video105.mp4,252541,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video106.mp4,226453,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video107.mp4,260501,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video108.mp4,259715,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video109.mp4,236917,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video110.mp4,208315,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video111.mp4,195724,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video112.mp4,234587,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video113.mp4,257269,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video114.mp4,259504,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video115.mp4,197919,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video116.mp4,203935,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video117.mp4,203930,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video118.mp4,242464,True,37,5.0,640,480,7.4
data/DeskTIL/videos/video119.mp4,230646,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video120.mp4,191094,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video121.mp4,219378,True,38,5.0,640,480,7.6
data/DeskTIL/videos/video122.mp4,209005,True,39,5.0,640,480,7.8
data/DeskTIL/videos/video123.mp4,164009,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video124.mp4,207042,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video125.mp4,212513,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video126.mp4,141642,True,23,5.0,640,480,4.6
data/DeskTIL/videos/video127.mp4,166039,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video128.mp4,181338,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video129.mp4,246507,True,39,5.0,640,480,7.8
data/DeskTIL/videos/video130.mp4,215277,True,42,5.0,640,480,8.4
data/DeskTIL/videos/video131.mp4,180211,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video132.mp4,249880,True,43,5.0,640,480,8.6
data/DeskTIL/videos/video133.mp4,213985,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video134.mp4,219433,True,36,5.0,640,480,7.2
data/DeskTIL/videos/video135.mp4,225273,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video136.mp4,218333,True,37,5.0,640,480,7.4
data/DeskTIL/videos/video137.mp4,199204,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video138.mp4,183752,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video139.mp4,198472,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video140.mp4,174901,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video141.mp4,249185,True,41,5.0,640,480,8.2
data/DeskTIL/videos/video142.mp4,196942,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video143.mp4,215030,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video144.mp4,189824,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video145.mp4,218258,True,36,5.0,640,480,7.2
data/DeskTIL/videos/video146.mp4,181003,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video147.mp4,210335,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video148.mp4,200588,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video149.mp4,144325,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video150.mp4,207588,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video151.mp4,190874,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video152.mp4,164273,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video153.mp4,221086,True,41,5.0,640,480,8.2
data/DeskTIL/videos/video154.mp4,196536,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video155.mp4,185284,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video156.mp4,221681,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video157.mp4,197218,True,35,5.0,640,480,7.0
data/DeskTIL/videos/video158.mp4,205903,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video159.mp4,187662,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video160.mp4,209064,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video161.mp4,220114,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video162.mp4,192818,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video163.mp4,203577,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video164.mp4,183329,True,35,5.0,640,480,7.0
data/DeskTIL/videos/video165.mp4,206842,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video166.mp4,214199,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video167.mp4,192667,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video168.mp4,229678,True,37,5.0,640,480,7.4
data/DeskTIL/videos/video169.mp4,198100,True,36,5.0,640,480,7.2
data/DeskTIL/videos/video170.mp4,222639,True,42,5.0,640,480,8.4
data/DeskTIL/videos/video171.mp4,154669,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video172.mp4,212819,True,38,5.0,640,480,7.6
data/DeskTIL/videos/video173.mp4,241674,True,36,5.0,640,480,7.2
data/DeskTIL/videos/video174.mp4,210745,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video175.mp4,226511,True,39,5.0,640,480,7.8
data/DeskTIL/videos/video176.mp4,202863,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video177.mp4,169619,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video178.mp4,175890,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video179.mp4,226164,True,35,5.0,640,480,7.0
data/DeskTIL/videos/video180.mp4,180251,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video51.mp4,282701,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video52.mp4,179579,True,19,5.0,640,480,3.8
data/DeskTIL/videos/video53.mp4,214464,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video54.mp4,239228,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video55.mp4,328518,True,42,5.0,640,480,8.4
data/DeskTIL/videos/video56.mp4,213444,True,22,5.0,640,480,4.4
data/DeskTIL/videos/video57.mp4,209439,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video58.mp4,240283,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video59.mp4,259829,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video60.mp4,246458,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video61.mp4,207112,True,23,5.0,640,480,4.6
data/DeskTIL/videos/video62.mp4,278309,True,34,5.0,640,480,6.8
data/DeskTIL/videos/video63.mp4,238205,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video64.mp4,216915,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video65.mp4,208470,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video66.mp4,257837,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video67.mp4,237519,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video68.mp4,258380,True,31,5.0,640,480,6.2
data/DeskTIL/videos/video69.mp4,223448,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video70.mp4,229273,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video71.mp4,256432,True,32,5.0,640,480,6.4
data/DeskTIL/videos/video72.mp4,227221,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video73.mp4,226586,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video74.mp4,262928,True,33,5.0,640,480,6.6
data/DeskTIL/videos/video75.mp4,241450,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video76.mp4,267813,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video77.mp4,223311,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video78.mp4,219169,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video79.mp4,236687,True,28,5.0,640,480,5.6
data/DeskTIL/videos/video80.mp4,245387,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video81.mp4,224307,True,25,5.0,640,480,5.0
data/DeskTIL/videos/video82.mp4,156584,True,18,5.0,640,480,3.6
data/DeskTIL/videos/video83.mp4,241574,True,23,5.0,640,480,4.6
data/DeskTIL/videos/video84.mp4,259313,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video85.mp4,254251,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video86.mp4,259980,True,30,5.0,640,480,6.0
data/DeskTIL/videos/video87.mp4,238068,True,26,5.0,640,480,5.2
data/DeskTIL/videos/video88.mp4,211401,True,24,5.0,640,480,4.8
data/DeskTIL/videos/video89.mp4,222800,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video90.mp4,198869,True,23,5.0,640,480,4.6
data/DeskTIL/videos/video91.mp4,227156,True,27,5.0,640,480,5.4
data/DeskTIL/videos/video92.mp4,251556,True,29,5.0,640,480,5.8
data/DeskTIL/videos/video93.mp4,243254,True,29,5.0,640,480,5.8
